id,汉字,出现次数,频率（%）,累积频率（%）
1,的,759834,4.8867,4.8867
2,一,218650,1.4062,6.2929
3,是,204548,1.3155,7.6084
4,不,166481,1.0707,8.6791
5,了,147981,0.9517,9.6308
6,在,143951,0.9258,10.5566
7,有,141221,0.9082,11.4648
8,人,121628,0.7822,12.247
9,这,118473,0.7619,13.0089
10,上,93773,0.6031,13.612
11,大,90830,0.5842,14.1962
12,来,89806,0.5776,14.7738
13,和,89644,0.5765,15.3503
14,我,89561,0.576,15.9263
15,个,88999,0.5724,16.4987
16,中,84897,0.546,17.0447
17,地,83575,0.5375,17.5822
18,为,83201,0.5351,18.1173
19,他,76432,0.4916,18.6089
20,生,76261,0.4905,19.0994
21,要,75230,0.4838,19.5832
22,们,74062,0.4763,20.0595
23,以,72998,0.4695,20.529
24,到,72392,0.4656,20.9946
25,国,67651,0.4351,21.4297
26,时,67073,0.4314,21.8611
27,就,65678,0.4224,22.2835
28,出,62060,0.3991,22.6826
29,说,60811,0.3911,23.0737
30,会,59732,0.3842,23.4579
31,也,58203,0.3743,23.8322
32,子,57123,0.3674,24.1996
33,学,55984,0.36,24.5596
34,发,55875,0.3593,24.9189
35,着,55666,0.358,25.2769
36,对,54649,0.3515,25.6284
37,作,54616,0.3512,25.9796
38,能,54355,0.3496,26.3292
39,可,54066,0.3477,26.6769
40,于,53387,0.3433,27.0202
41,成,53259,0.3425,27.3627
42,用,52866,0.34,27.7027
43,过,50574,0.3253,28.028
44,动,50395,0.3241,28.3521
45,主,50249,0.3232,28.6753
46,下,49733,0.3198,28.9951
47,而,49418,0.3178,29.3129
48,年,47441,0.3051,29.618
49,分,46501,0.2991,29.9171
50,得,46297,0.2977,30.2148
51,家,45991,0.2958,30.5106
52,种,45686,0.2938,30.8044
53,里,45585,0.2932,31.0976
54,多,44206,0.2843,31.3819
55,经,43430,0.2793,31.6612
56,自,43412,0.2792,31.9404
57,现,43040,0.2768,32.2172
58,同,42903,0.2759,32.4931
59,后,42643,0.2742,32.7673
60,产,42449,0.273,33.0403
61,方,41222,0.2651,33.3054
62,工,40196,0.2585,33.5639
63,行,38811,0.2496,33.8135
64,面,38643,0.2485,34.062
65,那,38600,0.2482,34.3102
66,小,38190,0.2456,34.5558
67,所,38088,0.245,34.8008
68,起,37939,0.244,35.0448
69,去,37349,0.2402,35.285
70,之,37152,0.2389,35.5239
71,都,36919,0.2374,35.7613
72,然,36802,0.2367,35.998
73,理,36313,0.2335,36.2315
74,进,36069,0.232,36.4635
75,体,36013,0.2316,36.6951
76,还,35552,0.2286,36.9237
77,定,35474,0.2281,37.1518
78,实,35331,0.2272,37.379
79,如,34418,0.2214,37.6004
80,么,33817,0.2175,37.8179
81,物,33687,0.2166,38.0345
82,法,33568,0.2159,38.2504
83,你,33449,0.2151,38.4655
84,好,33058,0.2126,38.6781
85,性,33034,0.2125,38.8906
86,民,32893,0.2115,39.1021
87,从,32796,0.2109,39.313
88,天,32508,0.2091,39.5221
89,化,32404,0.2084,39.7305
90,等,32364,0.2081,39.9386
91,力,32108,0.2065,40.1451
92,本,31740,0.2041,40.3492
93,长,31680,0.2037,40.5529
94,心,31417,0.2021,40.755
95,把,31134,0.2002,40.9552
96,部,31050,0.1997,41.1549
97,义,30754,0.1978,41.3527
98,样,30607,0.1968,41.5495
99,事,30452,0.1958,41.7453
100,看,30442,0.1958,41.9411
101,业,30353,0.1952,42.1363
102,当,30099,0.1936,42.3299
103,因,29929,0.1925,42.5224
104,高,29423,0.1892,42.7116
105,十,29368,0.1889,42.9005
106,开,29338,0.1887,43.0892
107,些,29300,0.1884,43.2776
108,社,28633,0.1841,43.4617
109,前,28420,0.1828,43.6445
110,又,28112,0.1808,43.8253
111,它,28078,0.1806,44.0059
112,水,27878,0.1793,44.1852
113,其,27842,0.1791,44.3643
114,没,27717,0.1783,44.5426
115,想,27478,0.1767,44.7193
116,意,26999,0.1736,44.8929
117,三,26687,0.1716,45.0645
118,只,26560,0.1708,45.2353
119,重,25987,0.1671,45.4024
120,点,25848,0.1662,45.5686
121,与,25294,0.1627,45.7313
122,使,25286,0.1626,45.8939
123,但,25236,0.1623,46.0562
124,度,25107,0.1615,46.2177
125,由,24919,0.1603,46.378
126,道,24900,0.1601,46.5381
127,全,24874,0.16,46.6981
128,制,24547,0.1579,46.856
129,明,24518,0.1577,47.0137
130,相,24486,0.1575,47.1712
131,两,24478,0.1574,47.3286
132,情,24325,0.1564,47.485
133,外,24250,0.156,47.641
134,间,24201,0.1556,47.7966
135,二,23915,0.1538,47.9504
136,关,23883,0.1536,48.104
137,活,23458,0.1509,48.2549
138,正,23423,0.1506,48.4055
139,合,23391,0.1504,48.5559
140,者,23169,0.149,48.7049
141,形,23160,0.1489,48.8538
142,应,23073,0.1484,49.0022
143,头,23068,0.1484,49.1506
144,无,22963,0.1477,49.2983
145,量,22942,0.1475,49.4458
146,表,22841,0.1469,49.5927
147,象,22612,0.1454,49.7381
148,气,22327,0.1436,49.8817
149,文,22300,0.1434,50.0251
150,展,22240,0.143,50.1681
151,系,21911,0.1409,50.309
152,代,21806,0.1402,50.4492
153,加,21601,0.1389,50.5881
154,各,21596,0.1389,50.727
155,很,21577,0.1388,50.8658
156,教,21550,0.1386,51.0044
157,新,21526,0.1384,51.1428
158,向,21480,0.1381,51.2809
159,机,21183,0.1362,51.4171
160,她,21183,0.1362,51.5533
161,内,21104,0.1357,51.689
162,此,21040,0.1353,51.8243
163,老,20822,0.1339,51.9582
164,变,20368,0.131,52.0892
165,原,20335,0.1308,52.22
166,结,19853,0.1277,52.3477
167,问,19390,0.1247,52.4724
168,手,19325,0.1243,52.5967
169,日,19295,0.1241,52.7208
170,利,19280,0.124,52.8448
171,质,19186,0.1234,52.9682
172,已,19102,0.1228,53.091
173,最,19092,0.1228,53.2138
174,政,19085,0.1227,53.3365
175,儿,18769,0.1207,53.4572
176,见,18754,0.1206,53.5778
177,并,18720,0.1204,53.6982
178,平,18695,0.1202,53.8184
179,资,18646,0.1199,53.9383
180,比,18628,0.1198,54.0581
181,特,18600,0.1196,54.1777
182,果,18573,0.1194,54.2971
183,什,18335,0.1179,54.415
184,建,18330,0.1179,54.5329
185,反,18308,0.1177,54.6506
186,常,18225,0.1172,54.7678
187,知,18188,0.117,54.8848
188,第,18101,0.1164,55.0012
189,电,18077,0.1163,55.1175
190,思,17947,0.1154,55.2329
191,立,17846,0.1148,55.3477
192,提,17783,0.1144,55.4621
193,或,17650,0.1135,55.5756
194,通,17613,0.1133,55.6889
195,解,17501,0.1126,55.8015
196,身,17302,0.1113,55.9128
197,四,17259,0.111,56.0238
198,品,17122,0.1101,56.1339
199,几,17072,0.1098,56.2437
200,位,17071,0.1098,56.3535
201,别,17060,0.1097,56.4632
202,论,16822,0.1082,56.5714
203,公,16789,0.108,56.6794
204,给,16738,0.1076,56.787
205,少,16385,0.1054,56.8924
206,条,16307,0.1049,56.9973
207,观,16133,0.1038,57.1011
208,回,16122,0.1037,57.2048
209,海,16022,0.103,57.3078
210,基,15916,0.1024,57.4102
211,次,15871,0.1021,57.5123
212,被,15573,0.1002,57.6125
213,山,15554,0.1,57.7125
214,才,15485,0.0996,57.8121
215,己,15444,0.0993,57.9114
216,期,15373,0.0989,58.0103
217,西,15352,0.0987,58.109
218,术,15296,0.0984,58.2074
219,济,15268,0.0982,58.3056
220,认,15238,0.098,58.4036
221,先,15198,0.0977,58.5013
222,命,15130,0.0973,58.5986
223,走,14963,0.0962,58.6948
224,真,14943,0.0961,58.7909
225,员,14901,0.0958,58.8867
226,及,14897,0.0958,58.9825
227,数,14890,0.0958,59.0783
228,话,14887,0.0957,59.174
229,门,14813,0.0953,59.2693
230,级,14752,0.0949,59.3642
231,军,14740,0.0948,59.459
232,统,14654,0.0942,59.5532
233,光,14642,0.0942,59.6474
234,声,14566,0.0937,59.7411
235,题,14565,0.0937,59.8348
236,入,14520,0.0934,59.9282
237,美,14489,0.0932,60.0214
238,口,14338,0.0922,60.1136
239,感,14318,0.0921,60.2057
240,战,14290,0.0919,60.2976
241,科,14238,0.0916,60.3892
242,程,14209,0.0914,60.4806
243,式,14197,0.0913,60.5719
244,指,14152,0.091,60.6629
245,世,14109,0.0907,60.7536
246,必,14049,0.0904,60.844
247,放,14014,0.0901,60.9341
248,打,13960,0.0898,61.0239
249,接,13934,0.0896,61.1135
250,总,13934,0.0896,61.2031
251,做,13912,0.0895,61.2926
252,东,13902,0.0894,61.382
253,区,13858,0.0891,61.4711
254,农,13819,0.0889,61.56
255,强,13769,0.0886,61.6486
256,造,13747,0.0884,61.737
257,类,13634,0.0877,61.8247
258,受,13597,0.0874,61.9121
259,场,13558,0.0872,61.9993
260,五,13498,0.0868,62.0861
261,直,13427,0.0864,62.1725
262,月,13322,0.0857,62.2582
263,流,13320,0.0857,62.3439
264,决,13280,0.0854,62.4293
265,干,13275,0.0854,62.5147
266,则,13257,0.0853,62.6
267,更,13224,0.085,62.685
268,色,13202,0.0849,62.7699
269,处,13127,0.0844,62.8543
270,路,13102,0.0843,62.9386
271,运,13094,0.0842,63.0228
272,任,12999,0.0836,63.1064
273,具,12988,0.0835,63.1899
274,目,12980,0.0835,63.2734
275,再,12904,0.083,63.3564
276,治,12767,0.0821,63.4385
277,神,12762,0.0821,63.5206
278,求,12753,0.082,63.6026
279,件,12745,0.082,63.6846
280,管,12692,0.0816,63.7662
281,组,12604,0.0811,63.8473
282,根,12576,0.0809,63.9282
283,阶,12535,0.0806,64.0088
284,将,12534,0.0806,64.0894
285,改,12531,0.0806,64.17
286,导,12525,0.0806,64.2506
287,眼,12518,0.0805,64.3311
288,规,12500,0.0804,64.4115
289,识,12488,0.0803,64.4918
290,革,12368,0.0795,64.5713
291,计,12073,0.0776,64.6489
292,白,12067,0.0776,64.7265
293,马,12014,0.0773,64.8038
294,金,11964,0.0769,64.8807
295,界,11896,0.0765,64.9572
296,取,11882,0.0764,65.0336
297,市,11874,0.0764,65.11
298,设,11857,0.0763,65.2626
299,语,11857,0.0763,65.1863
300,完,11828,0.0761,65.3387
301,究,11753,0.0756,65.4143
302,党,11734,0.0755,65.4898
303,女,11717,0.0754,65.5652
304,传,11661,0.075,65.6402
305,风,11590,0.0745,65.7147
306,信,11572,0.0744,65.7891
307,名,11541,0.0742,65.8633
308,便,11508,0.074,65.9373
309,保,11480,0.0738,66.0111
310,育,11442,0.0736,66.0847
311,队,11438,0.0736,66.1583
312,带,11407,0.0734,66.2317
313,叫,11323,0.0728,66.3045
314,研,11262,0.0724,66.3769
315,领,11150,0.0717,66.4486
316,北,11061,0.0711,66.5197
317,较,11043,0.071,66.5907
318,张,11012,0.0708,66.6615
319,即,10974,0.0706,66.7321
320,至,10970,0.0706,66.8027
321,许,10917,0.0702,66.8729
322,步,10872,0.0699,66.9428
323,往,10811,0.0695,67.0123
324,听,10786,0.0694,67.0817
325,调,10766,0.0692,67.1509
326,务,10743,0.0691,67.22
327,花,10710,0.0689,67.2889
328,争,10697,0.0688,67.3577
329,线,10691,0.0688,67.4265
330,呢,10623,0.0683,67.4948
331,每,10593,0.0681,67.5629
332,边,10572,0.068,67.6309
333,难,10546,0.0678,67.6987
334,太,10525,0.0677,67.7664
335,共,10500,0.0675,67.8339
336,交,10488,0.0675,67.9014
337,确,10484,0.0674,67.9688
338,劳,10396,0.0669,68.0357
339,据,10344,0.0665,68.1022
340,达,10319,0.0664,68.1686
341,住,10281,0.0661,68.2347
342,收,10204,0.0656,68.3003
343,候,10199,0.0656,68.3659
344,需,10191,0.0655,68.4314
345,转,10174,0.0654,68.4968
346,百,10071,0.0648,68.5616
347,南,10033,0.0645,68.6261
348,清,10010,0.0644,68.6905
349,格,9945,0.064,68.7545
350,影,9929,0.0639,68.8184
351,书,9927,0.0638,68.8822
352,切,9918,0.0638,68.946
353,且,9898,0.0637,69.0097
354,却,9896,0.0636,69.0733
355,志,9881,0.0635,69.1368
356,热,9860,0.0634,69.2002
357,联,9857,0.0634,69.2636
358,安,9855,0.0634,69.327
359,极,9852,0.0634,69.3904
360,今,9780,0.0629,69.4533
361,单,9754,0.0627,69.516
362,商,9735,0.0626,69.5786
363,料,9653,0.0621,69.6407
364,技,9646,0.062,69.7027
365,深,9600,0.0617,69.7644
366,验,9589,0.0617,69.8261
367,增,9571,0.0616,69.8877
368,记,9569,0.0615,69.9492
369,近,9565,0.0615,70.0107
370,言,9564,0.0615,70.0722
371,整,9520,0.0612,70.1334
372,精,9514,0.0612,70.1946
373,集,9478,0.061,70.2556
374,空,9433,0.0607,70.3163
375,连,9419,0.0606,70.3769
376,报,9411,0.0605,70.4374
377,觉,9363,0.0602,70.4976
378,车,9335,0.06,70.5576
379,价,9298,0.0598,70.6174
380,音,9280,0.0597,70.6771
381,响,9253,0.0595,70.7366
382,办,9247,0.0595,70.7961
383,存,9247,0.0595,70.8556
384,怎,9170,0.059,70.9146
385,病,9158,0.0589,70.9735
386,快,9110,0.0586,71.0321
387,图,9104,0.0586,71.0907
388,况,8957,0.0576,71.1483
389,例,8908,0.0573,71.2056
390,消,8854,0.0569,71.2625
391,容,8835,0.0568,71.3193
392,史,8821,0.0567,71.376
393,非,8814,0.0567,71.4327
394,离,8781,0.0565,71.4892
395,节,8778,0.0565,71.5457
396,亲,8769,0.0564,71.6021
397,万,8766,0.0564,71.6585
398,八,8761,0.0563,71.7148
399,构,8747,0.0563,71.7711
400,族,8744,0.0562,71.8273
401,石,8727,0.0561,71.8834
402,满,8701,0.056,71.9394
403,何,8660,0.0557,71.9951
404,广,8646,0.0556,72.0507
405,律,8597,0.0553,72.106
406,青,8568,0.0551,72.1611
407,林,8513,0.0547,72.2158
408,克,8494,0.0546,72.2704
409,王,8491,0.0546,72.325
410,历,8455,0.0544,72.3794
411,权,8446,0.0543,72.4337
412,素,8434,0.0542,72.4879
413,始,8376,0.0539,72.5418
414,断,8330,0.0536,72.5954
415,九,8252,0.0531,72.6485
416,际,8249,0.0531,72.7016
417,积,8219,0.0529,72.7545
418,吃,8176,0.0526,72.8071
419,态,8165,0.0525,72.9121
420,艺,8165,0.0525,72.8596
421,证,8161,0.0525,72.9646
422,众,8159,0.0525,73.0171
423,创,8135,0.0523,73.0694
424,红,8127,0.0523,73.1217
425,望,8110,0.0522,73.1739
426,须,8105,0.0521,73.226
427,群,8056,0.0518,73.2778
428,师,8047,0.0518,73.3296
429,该,8028,0.0516,73.3812
430,复,7986,0.0514,73.4326
431,细,7984,0.0513,73.4839
432,包,7983,0.0513,73.5352
433,土,7982,0.0513,73.5865
434,持,7976,0.0513,73.6378
435,服,7962,0.0512,73.689
436,笑,7944,0.0511,73.7401
437,德,7923,0.051,73.7911
438,般,7896,0.0508,73.8419
439,远,7863,0.0506,73.8925
440,爱,7850,0.0505,73.943
441,准,7754,0.0499,73.9929
442,写,7734,0.0497,74.0426
443,算,7663,0.0493,74.0919
444,火,7655,0.0492,74.1411
445,死,7623,0.049,74.1901
446,半,7622,0.049,74.2391
447,布,7610,0.0489,74.288
448,随,7598,0.0489,74.3369
449,六,7583,0.0488,74.3857
450,元,7581,0.0488,74.4345
451,低,7573,0.0487,74.4832
452,称,7571,0.0487,74.5319
453,引,7550,0.0486,74.5805
454,照,7534,0.0485,74.629
455,失,7495,0.0482,74.6772
456,养,7485,0.0481,74.7253
457,视,7472,0.0481,74.7734
458,习,7466,0.048,74.8214
459,段,7456,0.048,74.8694
460,字,7428,0.0478,74.9172
461,织,7420,0.0477,74.9649
462,斗,7350,0.0473,75.0122
463,团,7279,0.0468,75.059
464,器,7262,0.0467,75.1057
465,兴,7236,0.0465,75.1522
466,乐,7211,0.0464,75.1986
467,效,7207,0.0464,75.245
468,显,7164,0.0461,75.2911
469,斯,7158,0.046,75.3371
470,千,7094,0.0456,75.3827
471,落,7075,0.0455,75.4282
472,示,7058,0.0454,75.4736
473,仅,7057,0.0454,75.519
474,企,7052,0.0454,75.5644
475,似,7037,0.0453,75.6097
476,备,7026,0.0452,75.6549
477,除,6997,0.045,75.6999
478,支,6987,0.0449,75.7448
479,标,6974,0.0449,75.7897
480,早,6958,0.0447,75.8344
481,吧,6948,0.0447,75.8791
482,周,6869,0.0442,75.9233
483,速,6862,0.0441,75.9674
484,跟,6815,0.0438,76.0112
485,七,6778,0.0436,76.0548
486,采,6764,0.0435,76.0983
487,状,6732,0.0433,76.1416
488,吗,6700,0.0431,76.1847
489,约,6695,0.0431,76.2278
490,城,6688,0.043,76.2708
491,层,6686,0.043,76.3138
492,专,6666,0.0429,76.3567
493,划,6659,0.0428,76.3995
494,轻,6657,0.0428,76.4423
495,拉,6586,0.0424,76.4847
496,值,6584,0.0423,76.527
497,适,6576,0.0423,76.5693
498,英,6572,0.0423,76.6116
499,告,6514,0.0419,76.6535
500,讲,6508,0.0419,76.6954
501,维,6485,0.0417,76.7371
502,营,6483,0.0417,76.7788
503,士,6467,0.0416,76.8204
504,环,6441,0.0414,76.8618
505,古,6441,0.0414,76.9032
506,让,6433,0.0414,76.9446
507,院,6433,0.0414,76.986
508,按,6396,0.0411,77.0271
509,型,6395,0.0411,77.0682
510,势,6389,0.0411,77.1504
511,足,6389,0.0411,77.1093
512,毛,6377,0.041,77.1914
513,台,6366,0.0409,77.2323
514,紧,6340,0.0408,77.2731
515,片,6336,0.0407,77.3138
516,属,6315,0.0406,77.3544
517,严,6313,0.0406,77.395
518,树,6299,0.0405,77.4355
519,画,6292,0.0405,77.476
520,厂,6270,0.0403,77.5163
521,功,6261,0.0403,77.5566
522,注,6254,0.0402,77.5968
523,演,6244,0.0402,77.637
524,源,6237,0.0401,77.6771
525,温,6229,0.0401,77.7172
526,某,6227,0.04,77.7572
527,找,6199,0.0399,77.7971
528,参,6195,0.0398,77.8369
529,易,6193,0.0398,77.8767
530,飞,6183,0.0398,77.9165
531,推,6177,0.0397,77.9562
532,围,6173,0.0397,77.9959
533,列,6167,0.0397,78.0356
534,客,6163,0.0396,78.0752
535,河,6132,0.0394,78.1146
536,虽,6120,0.0394,78.154
537,境,6114,0.0393,78.1933
538,食,6111,0.0393,78.2326
539,李,6108,0.0393,78.2719
540,尔,6073,0.0391,78.311
541,黄,6064,0.039,78.35
542,黑,6053,0.0389,78.3889
543,念,6008,0.0386,78.4275
544,越,5995,0.0386,78.4661
545,选,5981,0.0385,78.5046
546,华,5977,0.0384,78.543
547,角,5970,0.0384,78.5814
548,考,5958,0.0383,78.6197
549,致,5953,0.0383,78.658
550,夫,5911,0.038,78.696
551,初,5910,0.038,78.734
552,装,5895,0.0379,78.7719
553,议,5883,0.0378,78.8097
554,首,5883,0.0378,78.8475
555,委,5882,0.0378,78.8853
556,底,5881,0.0378,78.9231
557,另,5876,0.0378,78.9609
558,江,5866,0.0377,78.9986
559,息,5853,0.0376,79.0362
560,密,5812,0.0374,79.111
561,压,5812,0.0374,79.0736
562,孩,5770,0.0371,79.1481
563,村,5759,0.037,79.1851
564,费,5720,0.0368,79.2219
565,局,5703,0.0367,79.2586
566,派,5640,0.0363,79.2949
567,房,5637,0.0363,79.3312
568,星,5628,0.0362,79.3674
569,突,5613,0.0361,79.4035
570,供,5592,0.036,79.4395
571,曾,5574,0.0358,79.4753
572,排,5560,0.0358,79.5111
573,苦,5558,0.0357,79.5468
574,够,5557,0.0357,79.5825
575,像,5554,0.0357,79.6182
576,站,5535,0.0356,79.6538
577,校,5501,0.0354,79.6892
578,富,5457,0.0351,79.7243
579,谈,5453,0.0351,79.7594
580,米,5444,0.035,79.7944
581,充,5413,0.0348,79.8292
582,阳,5408,0.0348,79.864
583,破,5401,0.0347,79.8987
584,母,5399,0.0347,79.9334
585,球,5386,0.0346,79.968
586,射,5358,0.0345,80.0025
587,批,5350,0.0344,80.0369
588,配,5349,0.0344,80.0713
589,纪,5343,0.0344,80.1057
590,未,5339,0.0343,80.14
591,哪,5316,0.0342,80.1742
592,妈,5307,0.0341,80.2083
593,差,5289,0.034,80.2423
594,刚,5285,0.034,80.2763
595,率,5278,0.0339,80.3102
596,察,5267,0.0339,80.3441
597,舞,5261,0.0338,80.3779
598,依,5256,0.0338,80.4117
599,占,5244,0.0337,80.4454
600,呀,5232,0.0336,80.479
601,微,5219,0.0336,80.5126
602,础,5209,0.0335,80.5461
603,益,5209,0.0335,80.5796
604,倒,5208,0.0335,80.6466
605,刻,5208,0.0335,80.6131
606,举,5194,0.0334,80.68
607,血,5170,0.0332,80.7132
608,故,5136,0.033,80.7462
609,互,5129,0.033,80.7792
610,范,5127,0.033,80.8122
611,木,5125,0.033,80.8452
612,号,5083,0.0327,80.8779
613,尽,5068,0.0326,80.9105
614,请,5058,0.0325,80.943
615,脸,5046,0.0325,80.9755
616,兵,5029,0.0323,81.0078
617,职,5021,0.0323,81.0401
618,留,5020,0.0323,81.0724
619,铁,5011,0.0322,81.1046
620,吸,5007,0.0322,81.1368
621,钱,4985,0.0321,81.1689
622,急,4972,0.032,81.2009
623,独,4971,0.032,81.2329
624,剧,4970,0.032,81.2649
625,查,4957,0.0319,81.2968
626,皮,4954,0.0319,81.3287
627,激,4952,0.0318,81.3605
628,坐,4951,0.0318,81.3923
629,乎,4940,0.0318,81.4241
630,固,4882,0.0314,81.4555
631,害,4873,0.0313,81.4868
632,夜,4867,0.0313,81.5181
633,续,4863,0.0313,81.5494
634,京,4860,0.0313,81.5807
635,双,4858,0.0312,81.6119
636,拿,4855,0.0312,81.6431
637,府,4852,0.0312,81.6743
638,限,4850,0.0312,81.7055
639,草,4835,0.0311,81.7366
640,项,4832,0.0311,81.7677
641,述,4795,0.0308,81.7985
642,曲,4790,0.0308,81.8293
643,既,4754,0.0306,81.8599
644,春,4752,0.0306,81.8905
645,官,4740,0.0305,81.921
646,坚,4734,0.0304,81.9514
647,令,4719,0.0303,81.9817
648,句,4716,0.0303,82.012
649,助,4700,0.0302,82.0422
650,简,4675,0.0301,82.0723
651,杂,4669,0.03,82.1023
652,材,4664,0.03,82.1323
653,封,4653,0.0299,82.1622
654,护,4649,0.0299,82.1921
655,司,4643,0.0299,82.222
656,省,4636,0.0298,82.2518
657,县,4630,0.0298,82.2816
658,模,4626,0.0298,82.3114
659,试,4623,0.0297,82.3411
660,绝,4603,0.0296,82.3707
661,洋,4600,0.0296,82.4003
662,谁,4592,0.0295,82.4298
663,继,4567,0.0294,82.4592
664,止,4560,0.0293,82.4885
665,喜,4550,0.0293,82.5178
666,优,4541,0.0292,82.547
667,词,4526,0.0291,82.5761
668,陈,4517,0.029,82.6051
669,鱼,4499,0.0289,82.634
670,终,4479,0.0288,82.6628
671,施,4440,0.0286,82.6914
672,晚,4427,0.0285,82.7199
673,朝,4426,0.0285,82.7484
674,含,4424,0.0285,82.7769
675,仍,4423,0.0284,82.8053
676,脑,4382,0.0282,82.8335
677,甚,4377,0.0281,82.8616
678,汉,4376,0.0281,82.8897
679,修,4357,0.028,82.9177
680,油,4329,0.0278,82.9455
681,衣,4327,0.0278,82.9733
682,击,4325,0.0278,83.0011
683,云,4315,0.0278,83.0289
684,送,4314,0.0277,83.0566
685,巴,4311,0.0277,83.0843
686,普,4294,0.0276,83.1119
687,征,4290,0.0276,83.1395
688,错,4289,0.0276,83.1671
689,均,4276,0.0275,83.1946
690,投,4262,0.0274,83.222
691,波,4260,0.0274,83.2494
692,余,4260,0.0274,83.2768
693,友,4257,0.0274,83.3042
694,武,4247,0.0273,83.3315
695,责,4235,0.0272,83.3587
696,游,4234,0.0272,83.3859
697,敌,4223,0.0272,83.4131
698,叶,4201,0.027,83.4401
699,船,4184,0.0269,83.467
700,久,4180,0.0269,83.4939
701,否,4179,0.0269,83.5208
702,异,4169,0.0268,83.5476
703,块,4166,0.0268,83.5744
704,脚,4159,0.0267,83.6011
705,怕,4156,0.0267,83.6278
706,田,4143,0.0266,83.6544
707,策,4142,0.0266,83.681
708,苏,4137,0.0266,83.7076
709,乡,4130,0.0266,83.7342
710,帝,4129,0.0266,83.7608
711,靠,4125,0.0265,83.7873
712,医,4114,0.0265,83.8138
713,测,4111,0.0264,83.8402
714,植,4104,0.0264,83.8666
715,啊,4101,0.0264,83.893
716,括,4095,0.0263,83.9193
717,换,4093,0.0263,83.9456
718,逐,4091,0.0263,83.9719
719,娘,4088,0.0263,83.9982
720,罗,4075,0.0262,84.0244
721,戏,4073,0.0262,84.0506
722,善,4054,0.0261,84.0767
723,获,4034,0.0259,84.1026
724,待,4029,0.0259,84.1285
725,降,4023,0.0259,84.1544
726,冲,4019,0.0258,84.1802
727,父,4015,0.0258,84.206
728,置,4014,0.0258,84.2318
729,左,4007,0.0258,84.2576
730,右,4000,0.0257,84.2833
731,沉,3994,0.0257,84.309
732,酸,3992,0.0257,84.3347
733,亮,3984,0.0256,84.3603
734,良,3980,0.0256,84.3859
735,班,3976,0.0256,84.4115
736,著,3973,0.0256,84.4371
737,亚,3969,0.0255,84.4626
738,抗,3961,0.0255,84.4881
739,啦,3954,0.0254,84.5135
740,静,3943,0.0254,84.5389
741,渐,3942,0.0254,84.5643
742,概,3938,0.0253,84.5896
743,居,3926,0.0252,84.6148
744,跑,3919,0.0252,84.64
745,旧,3918,0.0252,84.6652
746,防,3918,0.0252,84.6904
747,买,3902,0.0251,84.7155
748,挥,3897,0.0251,84.7406
749,负,3882,0.025,84.7656
750,帮,3875,0.0249,84.7905
751,欢,3868,0.0249,84.8154
752,冷,3848,0.0247,84.8401
753,液,3825,0.0246,84.8647
754,停,3818,0.0246,84.8893
755,减,3810,0.0245,84.9138
756,男,3807,0.0245,84.9383
757,胜,3798,0.0244,84.9627
758,答,3795,0.0244,84.9871
759,析,3779,0.0243,85.0114
760,忙,3777,0.0243,85.0357
761,短,3770,0.0242,85.0599
762,烈,3767,0.0242,85.0841
763,映,3752,0.0241,85.1082
764,财,3747,0.0241,85.1323
765,背,3744,0.0241,85.1564
766,奇,3741,0.0241,85.1805
767,药,3740,0.0241,85.2046
768,承,3739,0.024,85.2286
769,岁,3711,0.0239,85.2525
770,略,3673,0.0236,85.2761
771,穿,3651,0.0235,85.2996
772,牛,3640,0.0234,85.323
773,室,3635,0.0234,85.3464
774,移,3634,0.0234,85.3932
775,饭,3634,0.0234,85.3698
776,坏,3618,0.0233,85.4165
777,假,3616,0.0233,85.4398
778,州,3612,0.0232,85.463
779,缺,3611,0.0232,85.4862
780,愿,3610,0.0232,85.5094
781,练,3600,0.0232,85.5326
782,超,3587,0.0231,85.5557
783,雨,3583,0.023,85.5787
784,慢,3582,0.023,85.6017
785,竟,3575,0.023,85.6247
786,呼,3571,0.023,85.6477
787,散,3563,0.0229,85.6706
788,灵,3562,0.0229,85.6935
789,副,3552,0.0228,85.7163
790,歌,3548,0.0228,85.7391
791,谓,3541,0.0228,85.7619
792,虫,3539,0.0228,85.7847
793,读,3538,0.0228,85.8075
794,介,3529,0.0227,85.8302
795,培,3519,0.0226,85.8528
796,卫,3515,0.0226,85.8754
797,宗,3504,0.0225,85.8979
798,章,3487,0.0224,85.9203
799,评,3473,0.0223,85.9649
800,伤,3473,0.0223,85.9426
801,丰,3470,0.0223,85.9872
802,核,3444,0.0221,86.0093
803,预,3438,0.0221,86.0314
804,担,3428,0.022,86.0534
805,诉,3421,0.022,86.0754
806,惊,3421,0.022,86.0974
807,刘,3420,0.022,86.1194
808,景,3399,0.0219,86.1413
809,乱,3385,0.0218,86.1631
810,氧,3379,0.0217,86.1848
811,阿,3377,0.0217,86.2065
812,龙,3369,0.0217,86.2282
813,宣,3366,0.0216,86.2498
814,升,3363,0.0216,86.2714
815,爷,3362,0.0216,86.293
816,洲,3361,0.0216,86.3146
817,判,3353,0.0216,86.3362
818,案,3329,0.0214,86.3576
819,协,3306,0.0213,86.3789
820,福,3301,0.0212,86.4001
821,货,3290,0.0212,86.4213
822,味,3289,0.0212,86.4425
823,若,3285,0.0211,86.4636
